City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
272,Harper,4.38,-7.72,77.99,84,47,4.92,LR,light rain
273,Port-Cartier,50.03,-66.87,30.2,92,100,3.36,CA,overcast clouds
274,Havelock,34.88,-76.9,54.0,93,1,3.58,US,clear sky
275,Chokurdakh,70.63,147.92,-6.86,92,100,7.38,RU,overcast clouds
276,Ocos,14.51,-92.19,82.4,83,75,5.82,GT,broken clouds
277,Tiznit,29.58,-9.5,54.7,78,0,1.36,MA,clear sky
278,Te Anau,-45.42,167.72,63.63,44,31,2.35,NZ,scattered clouds
279,Vestmannaeyjar,63.44,-20.27,41.43,91,100,29.17,IS,light rain
280,Lorengau,-2.02,147.27,86.34,71,95,6.93,PG,overcast clouds
281,Provideniya,64.38,-173.3,16.12,90,68,7.87,RU,broken clouds
282,Belmonte,-15.86,-38.88,75.2,83,40,4.7,BR,scattered clouds
283,Liling,27.67,113.5,44.6,93,90,6.71,CN,mist
284,Karratha,-20.74,116.85,88.05,47,0,11.39,AU,clear sky
285,Da Lat,11.95,108.44,59.63,100,100,3.49,VN,overcast clouds
286,Madimba,-10.4,40.33,75.2,100,40,1.66,TZ,scattered clouds
287,Condoto,5.09,-76.65,73.76,95,49,1.95,CO,scattered clouds
288,Tailai,46.38,123.4,12.72,83,0,5.66,CN,clear sky
289,Alyangula,-13.85,136.42,89.6,55,40,5.82,AU,scattered clouds
290,Conde,-7.26,-34.91,77.0,83,20,9.17,BR,few clouds
291,Hualmay,-11.1,-77.61,66.02,79,89,7.94,PE,overcast clouds
292,Necochea,-38.55,-58.74,64.99,85,49,5.75,AR,scattered clouds
293,Romitan,39.93,64.38,28.4,86,0,9.17,UZ,clear sky
294,Evensk,61.95,159.23,13.75,84,25,14.88,RU,scattered clouds
295,Bure,10.7,37.07,56.37,69,35,4.41,ET,scattered clouds
296,Ndele,8.41,20.65,72.43,30,100,5.26,CF,overcast clouds
297,Mattru,7.62,-11.83,74.5,95,40,1.14,SL,scattered clouds
298,Ati,13.22,18.34,73.29,21,0,10.98,TD,clear sky
299,Petropavlovsk-Kamchatskiy,53.05,158.65,15.8,78,100,11.18,RU,overcast clouds
300,Juneau,58.3,-134.42,37.4,86,90,28.86,US,moderate rain
301,Saldanha,-33.01,17.94,57.2,76,0,10.29,ZA,clear sky
302,Drumheller,51.46,-112.71,23.0,79,0,3.36,CA,clear sky
303,Dabakala,8.37,-4.43,75.67,67,1,4.25,CI,clear sky
304,Warrnambool,-38.38,142.48,63.0,81,100,16.08,AU,overcast clouds
305,Abu Samrah,35.3,37.18,51.69,68,15,5.21,SY,few clouds
306,Santa Maria,-29.68,-53.81,75.2,78,75,4.7,BR,light rain
307,Garoua,9.3,13.4,73.99,33,100,1.52,CM,overcast clouds
308,Leshukonskoye,64.9,45.76,16.21,96,24,6.62,RU,few clouds
309,Ciechocinek,52.88,18.8,36.0,94,99,6.53,PL,overcast clouds
310,Kobryn,52.21,24.36,31.03,99,98,2.51,BY,overcast clouds
311,Winnemucca,40.97,-117.74,46.4,31,1,3.36,US,clear sky
312,Honiara,-9.43,159.95,87.8,66,75,6.93,SB,broken clouds
313,Severo-Kurilsk,50.68,156.12,29.57,90,95,10.58,RU,overcast clouds
314,The Valley,18.22,-63.06,79.0,78,20,5.82,AI,few clouds
315,Acapulco,16.86,-99.89,82.4,74,40,6.93,MX,scattered clouds
316,Cedar City,37.68,-113.06,42.8,28,1,4.7,US,clear sky
317,Kashi,39.45,75.98,23.0,85,0,6.71,CN,clear sky
318,Trinidad,-14.83,-64.9,81.43,65,0,2.55,BO,clear sky
319,Berberati,4.26,15.79,68.41,53,51,1.59,CF,broken clouds
320,Zigong,29.34,104.78,49.93,79,6,5.21,CN,clear sky
321,Camacha,33.08,-16.33,55.4,82,40,11.41,PT,scattered clouds
322,Nipawin,53.37,-104.0,23.0,73,40,13.87,CA,scattered clouds
323,Poum,-20.23,164.02,76.69,71,0,10.16,NC,clear sky
324,San Jose,37.34,-121.89,60.8,36,1,8.05,US,clear sky
325,Lagoa,39.05,-27.98,57.0,69,77,29.26,PT,broken clouds
326,Tiksi,71.69,128.87,-1.98,90,100,9.6,RU,overcast clouds
327,Praia Da Vitoria,38.73,-27.07,55.4,66,75,30.2,PT,broken clouds
328,Lompoc,34.64,-120.46,61.0,38,1,10.29,US,clear sky
329,Grants,35.15,-107.85,33.8,69,1,3.36,US,clear sky
330,Saint-Georges,12.06,-61.75,80.6,88,20,11.41,GD,few clouds
331,General Pico,-35.66,-63.76,76.15,38,0,3.51,AR,clear sky
332,Corinth,37.94,22.96,51.01,59,100,1.01,GR,overcast clouds
333,Ploemeur,47.73,-3.43,48.99,87,0,11.41,FR,clear sky
334,Minot,48.23,-101.3,44.01,52,1,17.22,US,clear sky
335,Presidencia Roque Saenz Pena,-26.79,-60.44,80.73,70,84,6.58,AR,broken clouds
336,Naze,28.37,129.48,66.2,63,75,5.82,JP,broken clouds
337,Tambopata,-12.73,-69.18,76.42,83,44,1.61,PE,scattered clouds
338,Fortuna,40.6,-124.16,50.0,82,88,4.07,US,overcast clouds
339,Svetlaya,46.54,138.33,17.58,81,0,5.93,RU,clear sky
